36 0
13 16
31 35
28 34
12 15
7 10
1 7
13 17
8 10
20 26
19 23
20 21
7 11
27 28
18 22
2 20
3 5
9 11
24 30
13 15
26 28
4 16
18 30
22 28
14 32
26 27
15 33
9 10
13 25
18 21
6 11
0 6
0 1
32 35
1 19
12 17
1 13
11 35
3 33
24 27
21 33
10 16
6 18
2 8
34 35
16 28
5 23
16 34
0 18
3 21
6 30
8 11
14 16
8 26
7 25
2 4
0 4
14 15
3 27
1 31
16 17
25 27
12 14
21 27
6 7
0 30
7 8
8 20
0 3
4 5
30 32
8 9
20 32
6 9
2 26
19 25
15 27
22 34
1 3
28 29
24 28
31 33
14 17
23 29
3 9
30 33
5 11
11 17
25 29
4 34
14 20
7 13
1 5
6 10
30 35
15 21
19 21
19 31
19 20
20 22
1 2
10 28
2 32
1 25
32 34
11 23
18 24
17 35
17 23
6 24
4 22
5 35
5 17
19 22
24 25
3 4
24 29
15 17
30 31
31 34
33 34
12 16
0 5
9 33
6 12
9 21
27 29
0 2
22 23
11 29
2 5
12 13
4 10
1 4
27 33
24 26
0 12
26 29
12 18
13 14
14 26
18 23
4 28
25 26
3 15
31 32
30 34
21 22
8 32
18 20
13 31
0 24
25 28
7 31
32 33
29 35
7 9
26 32
7 19
8 14
33 35
18 19
20 23
25 31
23 35
13 19
15 16
21 23
2 3
12 30
12 24
17 29
16 22
9 27
5 29
10 22
10 34
6 8
9 15
10 11
2 14
-1 -1
