36 1
22 29
20 34
4 0
3 13
8 22
0 7
29 34
4 9
3 18
27 32
10 20
23 33
28 35
21 31
30 1
28 33
22 27
13 18
16 23
8 18
5 10
17 22
22 32
7 35
22 2
19 24
23 28
27 34
24 31
9 19
11 21
11 31
16 0
6 13
0 28
2 12
17 27
4 19
10 17
14 24
2 7
19 33
8 29
15 5
0 21
11 16
7 21
20 3
16 26
21 28
26 33
15 30
2 16
15 20
7 12
16 31
10 30
12 19
7 28
1 15
14 4
14 28
3 10
14 21
5 30
18 32
17 8
9 24
13 34
4 11
16 21
1 29
8 15
35 0
6 27
2 9
12 33
20 25
27 9
21 26
12 26
13 20
9 16
3 8
9 23
15 22
0 14
8 13
9 14
26 31
3 17
18 9
6 20
20 27
1 8
17 32
11 26
10 15
15 29
2 23
4 14
10 25
14 19
1 22
4 24
19 26
5 15
20 30
14 35
5 25
18 25
0 35
13 27
1 6
6 34
25 32
5 20
15 25
21 35
31 1
25 30
24 2
7 14
-1 -1
