27 0
   0   11
   0   16
   0   20
   0   21
   1   20
   1   21
   1   25
   2    5
   2    6
   2    7
   2    9
   2   16
   2   20
   2   24
   3   17
   3   21
   3   24
   3   25
   4    5
   4   12
   4   16
   4   17
   4   21
   4   22
   4   24
   5    8
   5   11
   5   13
   5   17
   5   21
   5   22
   5   24
   5   25
   6    9
   6   11
   6   18
   6   19
   6   21
   6   24
   7   18
   8   11
   8   21
   8   22
   8   23
   9   11
   9   16
   9   20
  10   14
  10   18
  10   21
  10   24
  11   13
  11   18
  11   19
  12   14
  13   21
  14   15
  14   20
  14   21
  14   25
  15   16
  15   20
  15   21
  15   23
  15   24
  16   18
  16   19
  16   25
  16   26
  17   18
  17   19
  17   20
  17   24
  18   22
  19   21
  19   22
  19   26
  20   23
  20   26
  21   23
  22   26
  23   25
  24   25
  -1   -1
