50
 9483   1158    0. Madeup City 0
 3485   9442    1. Madeup City 1
 2010   8298    2. Madeup City 2
 2607   1914    3. Madeup City 3
 5243   8048    4. Madeup City 4
 9297   7027    5. Madeup City 5
 6642   8883    6. Madeup City 6
  500   7871    7. Madeup City 7
 5737   8113    8. Madeup City 8
 6455   2008    9. Madeup City 9
 8873   2077    10. Madeup City 10
 6750   5904    11. Madeup City 11
  106   6450    12. Madeup City 12
 2988   1726    13. Madeup City 13
 1729   3139    14. Madeup City 14
 5329   9043    15. Madeup City 15
 5157   3519    16. Madeup City 16
 9946     42    17. Madeup City 17
 9504   8338    18. Madeup City 18
 2945   2928    19. Madeup City 19
 9560   8913    20. Madeup City 20
 2559   7995    21. Madeup City 21
 5317   7212    22. Madeup City 22
  629    709    23. Madeup City 23
 4715   4303    24. Madeup City 24
 9200   7874    25. Madeup City 25
 3481    729    26. Madeup City 26
 3041    728    27. Madeup City 27
 3524    354    28. Madeup City 28
 7052    242    29. Madeup City 29
 3671   5554    30. Madeup City 30
 4130   2206    31. Madeup City 31
 1898    796    32. Madeup City 32
 9875   3414    33. Madeup City 33
 5710   7420    34. Madeup City 34
 5946   3758    35. Madeup City 35
 1500    310    36. Madeup City 36
 6087   7380    37. Madeup City 37
 1012   2468    38. Madeup City 38
 3437    851    39. Madeup City 39
 5537   3226    40. Madeup City 40
 3217   7140    41. Madeup City 41
 9693   6445    42. Madeup City 42
 5291    548    43. Madeup City 43
 1505   3092    44. Madeup City 44
 8950   3710    45. Madeup City 45
 1098    328    46. Madeup City 46
 1422   7939    47. Madeup City 47
 7364   1352    48. Madeup City 48
 4042   4788    49. Madeup City 49
