50
 9483   1158  
 3485   9442   
 2010   8298   
 2607   1914   
 5243   8048 
 9297   7027    
 6642   8883   
  500   7871   
 5737   8113 
 6455   2008   
 8873   2077  
 6750   5904 
  106   6450  
 2988   1726   
 1729   3139   
 5329   9043   
 5157   3519 
 9946     42   
 9504   8338   
 2945   2928 
 9560   8913   
 2559   7995 
 5317   7212   
  629    709  
 4715   4303  
 9200   7874
 3481    729
 3041    728   
 3524    354   
 7052    242   
 3671   5554   
 4130   2206    
 1898    796   
 9875   3414   
 5710   7420    
 5946   3758   
 1500    310   
 6087   7380  
 1012   2468    
 3437    851   
 5537   3226   
 3217   7140   
 9693   6445    
 5291    548    
 1505   3092 
 8950   3710    
 1098    328   
 1422   7939    
 7364   1352    
 4042   4788    
