48
863     324  
1121    335
923     348
1215    386
1050    397
727     418
755     392
843     305  
844     338 
1162    436 
897     398
862     398  
936     416 
957     390 
849     382 
912     305
698     443
765     390 
711     424 
846     427
931     450
902     323  
922     386
1120    466
967     408   
1198    392  
715     432 
748     402 
1059    357   
738     427    
786     358 
1008    468 
830     400  
975     355 
1230    449   
769     403
714     418
811     340  
1003    444  
869     360 
978     303   
1119    408    
726     443    
774     375     
1229    470    
816     382 
894     431  
1048    411     
