48
7692      2247      
9135      6748
7721      3451 
8304      8580  
7501      5899   
4687      1373    
5429      1408   
7877      1716  
7260      2083     
7096      7869    
6539      3513
6272      2992 
6471      4275    
7110      4369   
6462      2634
8476      2874    
3961      1370      
5555      1519   
4422      1249
5584      3081    
5776      4498  
8035      2880    
6963      3782
6336      7348 
6823      4674 
8139      8306 
4326      1426 
5164      1440        
8389      5804   
4639      1629       
6344      1436     
5840      5736      
5972      2555     
7947      4373    
6929      8958   
5366      1733  
4550      1219
6901      1589    
6316      5497   
7010      2710  
9005      3996 
7576      7065   
4246      1701  
5906      1472 
6469      8971
6152      2174   
5887      3796  
7203      5958 
